full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Poland, 05-830, Urzut, Ekologiczna, 29",52.061580657958984,20.752782821655273,495.0,BHC,05-830,Urzut,Ekologiczna,29.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-831, Rozalin, Przyjazna, 18",52.06098937988281,20.75385093688965,54.0,BHC,05-831,Rozalin,Przyjazna,18.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-831, Rozalin, Daniewice, 10",52.05888748168945,20.74944496154785,54.0,BHC,05-831,Rozalin,Daniewice,10.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Kostowiec, Przemysłowa, 7",52.062679290771484,20.7445125579834,54.0,BHC,05-830,Kostowiec,Przemysłowa,7.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-830, Kostowiec, Dymman, 20",52.05929946899414,20.737659454345703,495.0,BHC,05-830,Kostowiec,Dymman,20.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-825, Urszulin, Legionistów, 33",52.07223892211914,20.72146224975586,108.0,BRA,05-825,Urszulin,Legionistów,33.0,1.0,200108_200201_200301,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-825, Marynin, Partyzantów AK, 24",52.07035446166992,20.700408935546875,495.0,BHA,05-825,Marynin,Partyzantów AK,24.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 05-825, Grodzisk Mazowiecki, Kresowa, 8",52.10179138183594,20.611190795898438,108.0,BRC,05-825,Grodzisk Mazowiecki,Kresowa,8.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-313, Jaktorów, Pomorska, 23",52.088951110839844,20.549436569213867,495.0,BRC,96-313,Jaktorów,Pomorska,23.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
"Poland, 96-313, Jaktorów, Błotna, 6",52.0871467590332,20.549718856811523,495.0,BRC,96-313,Jaktorów,Błotna,6.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_200108_200201_200301,2
